,dem_id,tile,supertile,s3url,fileurl,fireid,UniqueID
38,59_24_2_2_2m_v4.1,59_24_2_2,59_24,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/arcticdem/mosaics/v4.1/2m/59_24/59_24_2_2_2m_v4.1.json,https://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v4.1/2m/59_24/59_24_2_2_2m_v4.1.tar.gz,16765,76707
39,61_30_2_2_2m_v4.1,61_30_2_2,61_30,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/arcticdem/mosaics/v4.1/2m/61_30/61_30_2_2_2m_v4.1.json,https://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v4.1/2m/61_30/61_30_2_2_2m_v4.1.tar.gz,19143,127782
40,62_34_1_2_2m_v4.1,62_34_1_2,62_34,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/arcticdem/mosaics/v4.1/2m/62_34/62_34_1_2_2m_v4.1.json,https://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v4.1/2m/62_34/62_34_1_2_2m_v4.1.tar.gz,13864,104093
41,62_34_1_2_2m_v4.1,62_34_1_2,62_34,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/arcticdem/mosaics/v4.1/2m/62_34/62_34_1_2_2m_v4.1.json,https://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v4.1/2m/62_34/62_34_1_2_2m_v4.1.tar.gz,13905,104393
42,59_46_1_1_2m_v4.1,59_46_1_1,59_46,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/arcticdem/mosaics/v4.1/2m/59_46/59_46_1_1_2m_v4.1.json,https://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v4.1/2m/59_46/59_46_1_1_2m_v4.1.tar.gz,15516,129661
43,59_46_2_2_2m_v4.1,59_46_2_2,59_46,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/arcticdem/mosaics/v4.1/2m/59_46/59_46_2_2_2m_v4.1.json,https://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v4.1/2m/59_46/59_46_2_2_2m_v4.1.tar.gz,22824,23151
44,59_46_2_2_2m_v4.1,59_46_2_2,59_46,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/arcticdem/mosaics/v4.1/2m/59_46/59_46_2_2_2m_v4.1.json,https://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v4.1/2m/59_46/59_46_2_2_2m_v4.1.tar.gz,15944,129608
45,59_46_2_2_2m_v4.1,59_46_2_2,59_46,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/arcticdem/mosaics/v4.1/2m/59_46/59_46_2_2_2m_v4.1.json,https://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v4.1/2m/59_46/59_46_2_2_2m_v4.1.tar.gz,11689,143137
46,59_46_2_2_2m_v4.1,59_46_2_2,59_46,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/arcticdem/mosaics/v4.1/2m/59_46/59_46_2_2_2m_v4.1.json,https://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v4.1/2m/59_46/59_46_2_2_2m_v4.1.tar.gz,10366,153854
47,59_46_1_2_2m_v4.1,59_46_1_2,59_46,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/arcticdem/mosaics/v4.1/2m/59_46/59_46_1_2_2m_v4.1.json,https://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v4.1/2m/59_46/59_46_1_2_2m_v4.1.tar.gz,13996,104146
48,59_46_1_2_2m_v4.1,59_46_1_2,59_46,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/arcticdem/mosaics/v4.1/2m/59_46/59_46_1_2_2m_v4.1.json,https://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v4.1/2m/59_46/59_46_1_2_2m_v4.1.tar.gz,20803,113953
49,59_46_1_2_2m_v4.1,59_46_1_2,59_46,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/arcticdem/mosaics/v4.1/2m/59_46/59_46_1_2_2m_v4.1.json,https://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v4.1/2m/59_46/59_46_1_2_2m_v4.1.tar.gz,16015,129614
50,60_37_2_2_2m_v4.1,60_37_2_2,60_37,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/arcticdem/mosaics/v4.1/2m/60_37/60_37_2_2_2m_v4.1.json,https://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v4.1/2m/60_37/60_37_2_2_2m_v4.1.tar.gz,17548,127337
51,60_37_2_1_2m_v4.1,60_37_2_1,60_37,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/arcticdem/mosaics/v4.1/2m/60_37/60_37_2_1_2m_v4.1.json,https://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v4.1/2m/60_37/60_37_2_1_2m_v4.1.tar.gz,21289,113778
52,60_37_2_1_2m_v4.1,60_37_2_1,60_37,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/arcticdem/mosaics/v4.1/2m/60_37/60_37_2_1_2m_v4.1.json,https://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v4.1/2m/60_37/60_37_2_1_2m_v4.1.tar.gz,18637,115000
53,60_37_2_1_2m_v4.1,60_37_2_1,60_37,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/arcticdem/mosaics/v4.1/2m/60_37/60_37_2_1_2m_v4.1.json,https://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v4.1/2m/60_37/60_37_2_1_2m_v4.1.tar.gz,18642,115002
54,60_37_2_1_2m_v4.1,60_37_2_1,60_37,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/arcticdem/mosaics/v4.1/2m/60_37/60_37_2_1_2m_v4.1.json,https://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v4.1/2m/60_37/60_37_2_1_2m_v4.1.tar.gz,18640,115049
55,60_37_2_1_2m_v4.1,60_37_2_1,60_37,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/arcticdem/mosaics/v4.1/2m/60_37/60_37_2_1_2m_v4.1.json,https://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v4.1/2m/60_37/60_37_2_1_2m_v4.1.tar.gz,18641,115050
56,60_37_2_1_2m_v4.1,60_37_2_1,60_37,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/arcticdem/mosaics/v4.1/2m/60_37/60_37_2_1_2m_v4.1.json,https://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v4.1/2m/60_37/60_37_2_1_2m_v4.1.tar.gz,17548,127337
57,60_37_2_1_2m_v4.1,60_37_2_1,60_37,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/arcticdem/mosaics/v4.1/2m/60_37/60_37_2_1_2m_v4.1.json,https://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v4.1/2m/60_37/60_37_2_1_2m_v4.1.tar.gz,17553,128650
58,60_37_2_1_2m_v4.1,60_37_2_1,60_37,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/arcticdem/mosaics/v4.1/2m/60_37/60_37_2_1_2m_v4.1.json,https://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v4.1/2m/60_37/60_37_2_1_2m_v4.1.tar.gz,17856,128654
59,60_37_2_1_2m_v4.1,60_37_2_1,60_37,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/arcticdem/mosaics/v4.1/2m/60_37/60_37_2_1_2m_v4.1.json,https://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v4.1/2m/60_37/60_37_2_1_2m_v4.1.tar.gz,14211,129569
60,60_37_2_1_2m_v4.1,60_37_2_1,60_37,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/arcticdem/mosaics/v4.1/2m/60_37/60_37_2_1_2m_v4.1.json,https://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v4.1/2m/60_37/60_37_2_1_2m_v4.1.tar.gz,14210,130419
61,62_20_1_1_2m_v4.1,62_20_1_1,62_20,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/arcticdem/mosaics/v4.1/2m/62_20/62_20_1_1_2m_v4.1.json,https://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v4.1/2m/62_20/62_20_1_1_2m_v4.1.tar.gz,22411,23517
62,61_42_2_2_2m_v4.1,61_42_2_2,61_42,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/arcticdem/mosaics/v4.1/2m/61_42/61_42_2_2_2m_v4.1.json,https://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v4.1/2m/61_42/61_42_2_2_2m_v4.1.tar.gz,16963,115755
63,60_47_1_1_2m_v4.1,60_47_1_1,60_47,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/arcticdem/mosaics/v4.1/2m/60_47/60_47_1_1_2m_v4.1.json,https://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v4.1/2m/60_47/60_47_1_1_2m_v4.1.tar.gz,12890,104641
64,62_25_1_2_2m_v4.1,62_25_1_2,62_25,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/arcticdem/mosaics/v4.1/2m/62_25/62_25_1_2_2m_v4.1.json,https://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v4.1/2m/62_25/62_25_1_2_2m_v4.1.tar.gz,14483,130299
65,62_25_1_1_2m_v4.1,62_25_1_1,62_25,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/arcticdem/mosaics/v4.1/2m/62_25/62_25_1_1_2m_v4.1.json,https://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v4.1/2m/62_25/62_25_1_1_2m_v4.1.tar.gz,14668,130169
66,59_28_1_1_2m_v4.1,59_28_1_1,59_28,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/arcticdem/mosaics/v4.1/2m/59_28/59_28_1_1_2m_v4.1.json,https://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v4.1/2m/59_28/59_28_1_1_2m_v4.1.tar.gz,17473,75850
67,59_28_1_1_2m_v4.1,59_28_1_1,59_28,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/arcticdem/mosaics/v4.1/2m/59_28/59_28_1_1_2m_v4.1.json,https://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v4.1/2m/59_28/59_28_1_1_2m_v4.1.tar.gz,14071,130465
