,descals_file,fireid,UniqueID
149,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-37_v2-4.tif,15174,129889
150,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-37_v2-4.tif,14463,129899
151,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-37_v2-4.tif,14551,129902
152,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-37_v2-4.tif,14552,129903
153,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-37_v2-4.tif,14555,129904
154,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-37_v2-4.tif,14557,129905
155,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-16_v2-4.tif,14907,129917
156,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-37_v2-4.tif,14615,129959
157,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-37_v2-4.tif,14890,129969
158,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-37_v2-4.tif,14554,130077
159,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-36_v2-4.tif,15621,130094
160,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-18_v2-4.tif,14386,130115
161,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-35_v2-4.tif,14893,130126
162,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-36_v2-4.tif,14668,130169
163,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-37_v2-4.tif,14556,130194
164,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-37_v2-4.tif,14664,130195
165,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-37_v2-4.tif,14196,130207
166,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-36_v2-4.tif,14275,130213
167,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-37_v2-4.tif,14666,130216
168,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-17_v2-4.tif,14874,130219
169,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-37_v2-4.tif,14006,130288
170,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-36_v2-4.tif,14483,130299
171,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-16_v2-4.tif,14287,130391
172,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-37_v2-4.tif,14137,130418
173,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-17_v2-4.tif,14210,130419
174,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-37_v2-4.tif,13712,130436
175,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-36_v2-4.tif,14071,130465
176,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-37_v2-4.tif,23760,137277
177,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-37_v2-4.tif,14992,142431
178,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-17_v2-4.tif,13414,142452
179,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-17_v2-4.tif,13448,142529
180,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-36_v2-4.tif,13222,142752
181,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-36_v2-4.tif,12056,142854
182,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-36_v2-4.tif,13223,142961
183,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-37_v2-4.tif,12016,143065
184,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-12_v2-4.tif,11689,143137
185,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-36_v2-4.tif,12057,143165
186,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-16_v2-4.tif,19960,148993
187,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-36_v2-4.tif,14447,151908
188,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-36_v2-4.tif,10789,153676
189,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-37_v2-4.tif,10756,153718
190,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-37_v2-4.tif,10697,153751
191,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-12_v2-4.tif,10366,153854
192,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-13_v2-4.tif,10422,153855
193,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-36_v2-4.tif,10792,153885
194,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-14_v2-4.tif,10168,153969
195,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-15_v2-4.tif,10365,154044
196,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-15_v2-4.tif,10497,154050
197,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-36_v2-4.tif,15970,163325
198,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-14_v2-4.tif,12145,164547
